            IoIT   EoA   EoI   IMG   PEOU   VIS   VOI   PUA   SQR     SR    LS   PPC    PS   PUI   TKR   WEI
PS.PS8     0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.775 0.000 0.000 0.000
PS.PS9     0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.810 0.000 0.000 0.000
PS.PS10    0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.734 0.000 0.000 0.000
PS.PS11    0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.781 0.000 0.000 0.000
PUI.PUI1   0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.823 0.000 0.000
PUI.PUI2   0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.811 0.000 0.000
PUI.PUI3   0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.839 0.000 0.000
PUI.PUI4   0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 -0.000 0.000 0.000 0.000 0.789 0.000 0.000
PUI.PUI5   0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.810 0.000 0.000
PUI.PUI7   0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.803 0.000 0.000
PUI.PUI8   0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.816 0.000 0.000
TKR.TKR1   0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.828 0.000
TKR.TKR2   0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.829 0.000
TKR.TKR3   0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.811 0.000
TKR.TKR4   0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.826 0.000
WEI.WEI1   0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000 0.769
WEI.WEI2   0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000 0.741
WEI.WEI3   0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000 0.785
WEI.WEI4   0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000 0.785
WEI.WEI5   0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000 0.782
WEI.WEI6   0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000 0.751
WEI.WEI7   0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000 0.785
WEI.WEI8   0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000 0.794
