indicator loadings (>.708)
            IoIT   EoA   EoI   IMG  PEOU   VIS   VOI   PUA   SQR     SR    LS   PPC    PS   PUI   TKR   WEI
PS.PS10    0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.762 0.000 0.000 0.000
PS.PS11    0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.785 0.000 0.000 0.000
PUI.PUI1   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.842 0.000 0.000
PUI.PUI2   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.830 0.000 0.000
PUI.PUI3   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.840 0.000 0.000
PUI.PUI4   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 -0.000 0.000 0.000 0.000 0.795 0.000 0.000
PUI.PUI5   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.838 0.000 0.000
PUI.PUI7   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.831 0.000 0.000
PUI.PUI8   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.814 0.000 0.000
TKR.TKR1   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.843 0.000
TKR.TKR2   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.853 0.000
TKR.TKR3   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.823 0.000
TKR.TKR4   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.827 0.000
WEI.WEI1   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000 0.771
WEI.WEI2   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000 0.765
WEI.WEI3   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000 0.780
WEI.WEI4   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000 0.790
WEI.WEI5   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000 0.806
WEI.WEI6   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000 0.757
