                         vars   n     mean       sd   median  trimmed      mad      min      max    range  skew kurtosis       se
PPC.PPC3                   51 479 5.39e+00 1.27e+00 6.00e+00 5.49e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.64     0.07 6.00e-02
PPC.PPC4                   52 479 5.43e+00 1.24e+00 6.00e+00 5.52e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.69     0.34 6.00e-02
PPC.PPC5                   53 479 5.11e+00 1.43e+00 5.00e+00 5.23e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.65     0.05 7.00e-02
PPC.PPC6                   54 479 5.28e+00 1.32e+00 5.00e+00 5.39e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.66     0.19 6.00e-02
PS.PS1                     55 479 5.41e+00 1.33e+00 6.00e+00 5.54e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.86     0.54 6.00e-02
PS.PS2                     56 479 5.46e+00 1.29e+00 6.00e+00 5.58e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.85     0.61 6.00e-02
PS.PS3                     57 479 5.49e+00 1.31e+00 6.00e+00 5.62e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -1.01     1.13 6.00e-02
PS.PS4                     58 479 5.57e+00 1.27e+00 6.00e+00 5.71e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.99     1.04 6.00e-02
PS.PS5                     59 479 5.46e+00 1.31e+00 6.00e+00 5.61e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.97     0.92 6.00e-02
PS.PS6                     60 479 5.46e+00 1.27e+00 6.00e+00 5.58e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.79     0.41 6.00e-02
PS.PS7                     61 479 5.56e+00 1.20e+00 6.00e+00 5.67e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.93     1.07 5.00e-02
PS.PS8                     62 479 5.56e+00 1.22e+00 6.00e+00 5.67e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.80     0.61 6.00e-02
PS.PS9                     63 479 5.61e+00 1.26e+00 6.00e+00 5.76e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -1.06     1.15 6.00e-02
PS.PS10                    64 479 5.45e+00 1.30e+00 6.00e+00 5.58e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.92     0.83 6.00e-02
PS.PS11                    65 479 5.46e+00 1.33e+00 6.00e+00 5.60e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.93     0.70 6.00e-02
PUI.PUI1                   66 479 5.50e+00 1.33e+00 6.00e+00 5.65e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.96     0.74 6.00e-02
PUI.PUI2                   67 479 5.41e+00 1.35e+00 6.00e+00 5.56e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.88     0.62 6.00e-02
PUI.PUI3                   68 479 5.51e+00 1.32e+00 6.00e+00 5.66e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.93     0.70 6.00e-02
PUI.PUI4                   69 479 5.57e+00 1.33e+00 6.00e+00 5.74e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -1.04     0.97 6.00e-02
PUI.PUI5                   70 479 5.47e+00 1.36e+00 6.00e+00 5.64e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.92     0.58 6.00e-02
PUI.PUI6                   71 479 4.75e+00 1.70e+00 5.00e+00 4.88e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.51    -0.50 8.00e-02
PUI.PUI7                   72 479 5.44e+00 1.33e+00 6.00e+00 5.58e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.88     0.52 6.00e-02
PUI.PUI8                   73 479 5.49e+00 1.37e+00 6.00e+00 5.65e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.96     0.75 6.00e-02
TKR.TKR1                   74 479 4.77e+00 1.59e+00 5.00e+00 4.87e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.46    -0.57 7.00e-02
TKR.TKR2                   75 479 4.98e+00 1.50e+00 5.00e+00 5.10e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.62    -0.02 7.00e-02
TKR.TKR3                   76 479 4.91e+00 1.52e+00 5.00e+00 5.01e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.52    -0.33 7.00e-02
TKR.TKR4                   77 479 4.70e+00 1.61e+00 5.00e+00 4.79e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.47    -0.60 7.00e-02
WEI.WEI1                   78 479 5.37e+00 1.31e+00 6.00e+00 5.50e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.74     0.12 6.00e-02
WEI.WEI2                   79 479 5.45e+00 1.33e+00 6.00e+00 5.59e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.89     0.65 6.00e-02
WEI.WEI3                   80 479 5.25e+00 1.37e+00 5.00e+00 5.37e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.61    -0.11 6.00e-02
WEI.WEI4                   81 479 5.53e+00 1.26e+00 6.00e+00 5.66e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.97     0.95 6.00e-02
WEI.WEI5                   82 479 5.19e+00 1.44e+00 5.00e+00 5.32e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.65    -0.10 7.00e-02
WEI.WEI6                   83 479 5.31e+00 1.33e+00 6.00e+00 5.42e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.74     0.33 6.00e-02
WEI.WEI7                   84 479 5.15e+00 1.44e+00 5.00e+00 5.28e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.58    -0.15 7.00e-02
WEI.WEI8                   85 479 5.30e+00 1.33e+00 5.00e+00 5.43e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.82     0.56 6.00e-02
PERCEPTION.PROJPOS         86 478 3.75e+00 1.78e+00 4.00e+00 3.88e+00 1.48e+00 0.00e+00 6.00e+00 6.00e+00 -0.53    -0.79 8.00e-02
PERCEPTION.PROJNEG         87 478 2.81e+00 1.77e+00 3.00e+00 2.73e+00 2.97e+00 0.00e+00 6.00e+00 6.00e+00  0.26    -1.07 8.00e-02
