                         vars   n     mean       sd   median  trimmed      mad      min      max    range  skew kurtosis       se
SQR.SQR2                 |                   LS.LS3 |  0.30 | [ 0.21,  0.38] |  6.80 | 477 | < .001***
SQR.SQR2                 |                   LS.LS4 |  0.30 | [ 0.22,  0.38] |  6.89 | 477 | < .001***
SQR.SQR2                 |                   LS.LS5 |  0.28 | [ 0.19,  0.36] |  6.33 | 477 | < .001***
SQR.SQR2                 |                   LS.LS6 |  0.30 | [ 0.22,  0.38] |  6.89 | 477 | < .001***
SQR.SQR2                 |                   LS.LS7 |  0.38 | [ 0.30,  0.45] |  8.89 | 477 | < .001***
SQR.SQR2                 |                   LS.LS8 |  0.31 | [ 0.22,  0.39] |  7.07 | 477 | < .001***
SQR.SQR2                 |                 PPC.PPC1 |  0.27 | [ 0.18,  0.35] |  6.07 | 477 | < .001***
SQR.SQR2                 |                 PPC.PPC2 |  0.21 | [ 0.13,  0.30] |  4.75 | 477 | 0.016*   
SQR.SQR2                 |                 PPC.PPC3 |  0.29 | [ 0.20,  0.37] |  6.50 | 477 | < .001***
SQR.SQR2                 |                 PPC.PPC4 |  0.29 | [ 0.21,  0.37] |  6.73 | 477 | < .001***
SQR.SQR2                 |                 PPC.PPC5 |  0.35 | [ 0.27,  0.43] |  8.17 | 477 | < .001***
SQR.SQR2                 |                 PPC.PPC6 |  0.24 | [ 0.15,  0.32] |  5.38 | 477 | < .001***
SQR.SQR2                 |                   PS.PS1 |  0.25 | [ 0.16,  0.33] |  5.65 | 477 | < .001***
SQR.SQR2                 |                   PS.PS2 |  0.27 | [ 0.18,  0.35] |  6.05 | 477 | < .001***
SQR.SQR2                 |                   PS.PS3 |  0.30 | [ 0.22,  0.38] |  6.97 | 477 | < .001***
SQR.SQR2                 |                   PS.PS4 |  0.25 | [ 0.17,  0.33] |  5.67 | 477 | < .001***
SQR.SQR2                 |                   PS.PS5 |  0.23 | [ 0.15,  0.31] |  5.20 | 477 | 0.002**  
SQR.SQR2                 |                   PS.PS6 |  0.25 | [ 0.17,  0.34] |  5.72 | 477 | < .001***
SQR.SQR2                 |                   PS.PS7 |  0.25 | [ 0.17,  0.33] |  5.68 | 477 | < .001***
SQR.SQR2                 |                   PS.PS8 |  0.21 | [ 0.12,  0.29] |  4.64 | 477 | 0.027*   
SQR.SQR2                 |                   PS.PS9 |  0.25 | [ 0.16,  0.33] |  5.66 | 477 | < .001***
SQR.SQR2                 |                  PS.PS10 |  0.26 | [ 0.18,  0.34] |  5.97 | 477 | < .001***
SQR.SQR2                 |                  PS.PS11 |  0.29 | [ 0.21,  0.37] |  6.64 | 477 | < .001***
SQR.SQR2                 |                 PUI.PUI1 |  0.30 | [ 0.22,  0.38] |  6.84 | 477 | < .001***
SQR.SQR2                 |                 PUI.PUI2 |  0.23 | [ 0.15,  0.32] |  5.23 | 477 | 0.001**  
SQR.SQR2                 |                 PUI.PUI3 |  0.26 | [ 0.18,  0.35] |  5.98 | 477 | < .001***
SQR.SQR2                 |                 PUI.PUI4 |  0.23 | [ 0.15,  0.32] |  5.27 | 477 | 0.001**  
SQR.SQR2                 |                 PUI.PUI5 |  0.26 | [ 0.18,  0.34] |  5.94 | 477 | < .001***
SQR.SQR2                 |                 PUI.PUI6 |  0.29 | [ 0.21,  0.37] |  6.72 | 477 | < .001***
SQR.SQR2                 |                 PUI.PUI7 |  0.25 | [ 0.16,  0.33] |  5.57 | 477 | < .001***
SQR.SQR2                 |                 PUI.PUI8 |  0.24 | [ 0.16,  0.33] |  5.49 | 477 | < .001***
SQR.SQR2                 |                 TKR.TKR1 |  0.26 | [ 0.18,  0.34] |  5.92 | 477 | < .001***
SQR.SQR2                 |                 TKR.TKR2 |  0.34 | [ 0.26,  0.42] |  7.95 | 477 | < .001***
SQR.SQR2                 |                 TKR.TKR3 |  0.31 | [ 0.23,  0.39] |  7.14 | 477 | < .001***
SQR.SQR2                 |                 TKR.TKR4 |  0.32 | [ 0.24,  0.40] |  7.42 | 477 | < .001***
SQR.SQR2                 |                 WEI.WEI1 |  0.27 | [ 0.18,  0.35] |  6.05 | 477 | < .001***
SQR.SQR2                 |                 WEI.WEI2 |  0.25 | [ 0.17,  0.34] |  5.72 | 477 | < .001***
SQR.SQR2                 |                 WEI.WEI3 |  0.30 | [ 0.22,  0.38] |  6.88 | 477 | < .001***
SQR.SQR2                 |                 WEI.WEI4 |  0.29 | [ 0.20,  0.37] |  6.55 | 477 | < .001***
SQR.SQR2                 |                 WEI.WEI5 |  0.36 | [ 0.28,  0.44] |  8.44 | 477 | < .001***
SQR.SQR2                 |                 WEI.WEI6 |  0.27 | [ 0.18,  0.35] |  6.12 | 477 | < .001***
SQR.SQR2                 |                 WEI.WEI7 |  0.33 | [ 0.25,  0.41] |  7.72 | 477 | < .001***
SQR.SQR2                 |                 WEI.WEI8 |  0.34 | [ 0.26,  0.42] |  7.92 | 477 | < .001***
SQR.SQR2                 |            WORKPACE.SQ01 |  0.26 | [ 0.17,  0.34] |  5.76 | 475 | < .001***
SQR.SQR2                 |                 MEASURES |  0.22 | [ 0.13,  0.30] |  4.92 | 477 | 0.007**  
SQR.SQR3                 |                 SQR.SQR4 |  0.25 | [ 0.16,  0.33] |  5.55 | 477 | < .001***
SQR.SQR3                 |                   SR.SR1 |  0.42 | [ 0.35,  0.49] | 10.17 | 477 | < .001***
SQR.SQR3                 |                   SR.SR2 |  0.41 | [ 0.33,  0.48] |  9.73 | 477 | < .001***
SQR.SQR3                 |                   SR.SR3 |  0.42 | [ 0.35,  0.49] | 10.21 | 477 | < .001***
SQR.SQR3                 |                   SR.SR4 |  0.41 | [ 0.33,  0.48] |  9.86 | 477 | < .001***
SQR.SQR3                 |                   LS.LS2 |  0.30 | [ 0.21,  0.38] |  6.78 | 477 | < .001***
SQR.SQR3                 |                   LS.LS3 |  0.27 | [ 0.19,  0.36] |  6.23 | 477 | < .001***
SQR.SQR3                 |                   LS.LS4 |  0.25 | [ 0.17,  0.34] |  5.74 | 477 | < .001***
SQR.SQR3                 |                   LS.LS5 |  0.30 | [ 0.21,  0.38] |  6.80 | 477 | < .001***
SQR.SQR3                 |                   LS.LS6 |  0.30 | [ 0.21,  0.38] |  6.77 | 477 | < .001***
SQR.SQR3                 |                   LS.LS7 |  0.39 | [ 0.31,  0.46] |  9.17 | 477 | < .001***
SQR.SQR3                 |                   LS.LS8 |  0.24 | [ 0.16,  0.32] |  5.46 | 477 | < .001***
SQR.SQR3                 |                 PPC.PPC1 |  0.27 | [ 0.19,  0.35] |  6.18 | 477 | < .001***
SQR.SQR3                 |                 PPC.PPC2 |  0.26 | [ 0.18,  0.34] |  5.93 | 477 | < .001***
SQR.SQR3                 |                 PPC.PPC3 |  0.24 | [ 0.16,  0.32] |  5.44 | 477 | < .001***
SQR.SQR3                 |                 PPC.PPC4 |  0.25 | [ 0.17,  0.34] |  5.73 | 477 | < .001***
SQR.SQR3                 |                 PPC.PPC5 |  0.36 | [ 0.28,  0.43] |  8.35 | 477 | < .001***
SQR.SQR3                 |                 PPC.PPC6 |  0.31 | [ 0.23,  0.39] |  7.24 | 477 | < .001***
SQR.SQR3                 |                   PS.PS5 |  0.24 | [ 0.16,  0.33] |  5.52 | 477 | < .001***
SQR.SQR3                 |                  PS.PS10 |  0.24 | [ 0.15,  0.32] |  5.38 | 477 | < .001***
SQR.SQR3                 |                  PS.PS11 |  0.23 | [ 0.15,  0.32] |  5.22 | 477 | 0.002**  
SQR.SQR3                 |                 PUI.PUI1 |  0.23 | [ 0.14,  0.31] |  5.13 | 477 | 0.002**  
SQR.SQR3                 |                 PUI.PUI3 |  0.23 | [ 0.14,  0.31] |  5.09 | 477 | 0.003**  
SQR.SQR3                 |                 PUI.PUI6 |  0.40 | [ 0.33,  0.48] |  9.63 | 477 | < .001***
SQR.SQR3                 |                 TKR.TKR1 |  0.41 | [ 0.34,  0.48] |  9.91 | 477 | < .001***
SQR.SQR3                 |                 TKR.TKR2 |  0.40 | [ 0.32,  0.47] |  9.47 | 477 | < .001***
SQR.SQR3                 |                 TKR.TKR3 |  0.41 | [ 0.33,  0.48] |  9.77 | 477 | < .001***
SQR.SQR3                 |                 TKR.TKR4 |  0.41 | [ 0.33,  0.48] |  9.70 | 477 | < .001***
SQR.SQR3                 |                 WEI.WEI1 |  0.22 | [ 0.13,  0.30] |  4.85 | 477 | 0.010**  
SQR.SQR3                 |                 WEI.WEI3 |  0.32 | [ 0.24,  0.40] |  7.42 | 477 | < .001***
SQR.SQR3                 |                 WEI.WEI4 |  0.28 | [ 0.19,  0.36] |  6.27 | 477 | < .001***
SQR.SQR3                 |                 WEI.WEI5 |  0.34 | [ 0.26,  0.42] |  7.91 | 477 | < .001***
SQR.SQR3                 |                 WEI.WEI6 |  0.29 | [ 0.21,  0.37] |  6.69 | 477 | < .001***
SQR.SQR3                 |                 WEI.WEI7 |  0.34 | [ 0.26,  0.42] |  7.89 | 477 | < .001***
SQR.SQR3                 |                 WEI.WEI8 |  0.35 | [ 0.27,  0.42] |  8.09 | 477 | < .001***
SQR.SQR3                 |            WORKPACE.SQ01 |  0.28 | [ 0.19,  0.36] |  6.26 | 475 | < .001***
SQR.SQR3                 |                 MEASURES |  0.23 | [ 0.14,  0.31] |  5.09 | 477 | 0.003**  
SQR.SQR3                 |                MEASURES2 |  0.31 | [ 0.19,  0.42] |  5.09 | 248 | 0.004**  
SQR.SQR3                 |                  WEITime | -0.23 | [-0.31, -0.14] | -5.17 | 477 | 0.002**  
SQR.SQR4                 |                 PUI.PUI4 |  0.23 | [ 0.14,  0.31] |  5.16 | 477 | 0.002**  
SQR.SQR4                 |                 TKR.TKR3 |  0.21 | [ 0.13,  0.30] |  4.75 | 477 | 0.016*   
SQR.SQR4                 |                 TKR.TKR4 |  0.20 | [ 0.11,  0.29] |  4.50 | 477 | 0.050*   
SQR.SQR4                 |                 WEI.WEI4 |  0.21 | [ 0.13,  0.30] |  4.81 | 477 | 0.012*   
SQR.SQR4                 |                 WEI.WEI5 |  0.21 | [ 0.13,  0.30] |  4.77 | 477 | 0.015*   
SQR.SQR4                 |                 WEI.WEI7 |  0.20 | [ 0.11,  0.29] |  4.50 | 477 | 0.050*   
SR.SR1                   |                   SR.SR2 |  0.68 | [ 0.63,  0.73] | 20.29 | 477 | < .001***
SR.SR1                   |                   SR.SR3 |  0.77 | [ 0.73,  0.80] | 26.27 | 477 | < .001***
SR.SR1                   |                   SR.SR4 |  0.75 | [ 0.71,  0.79] | 24.89 | 477 | < .001***
SR.SR1                   |                   LS.LS3 |  0.29 | [ 0.21,  0.37] |  6.72 | 477 | < .001***
SR.SR1                   |                   LS.LS6 |  0.28 | [ 0.19,  0.36] |  6.26 | 477 | < .001***
SR.SR1                   |                   LS.LS7 |  0.26 | [ 0.18,  0.34] |  5.96 | 477 | < .001***
SR.SR1                   |                 PPC.PPC5 |  0.27 | [ 0.19,  0.35] |  6.17 | 477 | < .001***
SR.SR1                   |                 PUI.PUI6 |  0.30 | [ 0.22,  0.38] |  6.87 | 477 | < .001***
SR.SR1                   |                 TKR.TKR1 |  0.29 | [ 0.21,  0.37] |  6.64 | 477 | < .001***
SR.SR1                   |                 TKR.TKR2 |  0.35 | [ 0.27,  0.42] |  8.10 | 477 | < .001***
SR.SR1                   |                 TKR.TKR3 |  0.29 | [ 0.20,  0.37] |  6.54 | 477 | < .001***
SR.SR1                   |                 TKR.TKR4 |  0.32 | [ 0.24,  0.40] |  7.38 | 477 | < .001***
SR.SR1                   |                 WEI.WEI3 |  0.22 | [ 0.13,  0.30] |  4.91 | 477 | 0.007**  
SR.SR1                   |                 WEI.WEI5 |  0.30 | [ 0.22,  0.38] |  6.93 | 477 | < .001***
SR.SR1                   |                 WEI.WEI6 |  0.20 | [ 0.12,  0.29] |  4.56 | 477 | 0.038*   
SR.SR1                   |                 WEI.WEI7 |  0.28 | [ 0.19,  0.36] |  6.27 | 477 | < .001***
SR.SR1                   |                 WEI.WEI8 |  0.24 | [ 0.16,  0.33] |  5.49 | 477 | < .001***
SR.SR1                   |       PERCEPTION.PROJPOS | -0.24 | [-0.32, -0.15] | -5.29 | 476 | 0.001**  
SR.SR1                   |         PERCEPTION.DTPOS | -0.25 | [-0.33, -0.16] | -5.57 | 475 | < .001***
SR.SR1                   |                 MEASURES |  0.23 | [ 0.14,  0.31] |  5.19 | 477 | 0.002**  
SR.SR2                   |                   SR.SR3 |  0.72 | [ 0.68,  0.76] | 22.84 | 477 | < .001***
SR.SR2                   |                   SR.SR4 |  0.72 | [ 0.68,  0.76] | 22.74 | 477 | < .001***
SR.SR2                   |                 PPC.PPC5 |  0.21 | [ 0.12,  0.30] |  4.72 | 477 | 0.018*   
SR.SR2                   |                 PUI.PUI6 |  0.23 | [ 0.15,  0.32] |  5.23 | 477 | 0.001**  
SR.SR2                   |                 TKR.TKR1 |  0.32 | [ 0.23,  0.39] |  7.28 | 477 | < .001***
SR.SR2                   |                 TKR.TKR2 |  0.32 | [ 0.24,  0.40] |  7.47 | 477 | < .001***
SR.SR2                   |                 TKR.TKR3 |  0.25 | [ 0.16,  0.33] |  5.54 | 477 | < .001***
SR.SR2                   |                 TKR.TKR4 |  0.34 | [ 0.26,  0.42] |  7.97 | 477 | < .001***
SR.SR2                   |                 WEI.WEI5 |  0.21 | [ 0.12,  0.29] |  4.68 | 477 | 0.021*   
SR.SR2                   |       PERCEPTION.PROJPOS | -0.30 | [-0.38, -0.22] | -6.85 | 476 | < .001***
SR.SR2                   |         PERCEPTION.DTPOS | -0.28 | [-0.36, -0.19] | -6.28 | 475 | < .001***
SR.SR2                   |                 MEASURES |  0.24 | [ 0.15,  0.32] |  5.35 | 477 | < .001***
SR.SR2                   |                MEASURES2 |  0.29 | [ 0.17,  0.40] |  4.69 | 248 | 0.026*   
SR.SR3                   |                   SR.SR4 |  0.75 | [ 0.70,  0.78] | 24.57 | 477 | < .001***
SR.SR3                   |                   LS.LS3 |  0.22 | [ 0.14,  0.31] |  5.01 | 477 | 0.005**  
SR.SR3                   |                   LS.LS7 |  0.27 | [ 0.18,  0.35] |  6.01 | 477 | < .001***
SR.SR3                   |                 PPC.PPC5 |  0.23 | [ 0.14,  0.31] |  5.19 | 477 | 0.002**  
SR.SR3                   |                 PUI.PUI6 |  0.29 | [ 0.21,  0.37] |  6.65 | 477 | < .001***
SR.SR3                   |                 TKR.TKR1 |  0.30 | [ 0.22,  0.38] |  6.97 | 477 | < .001***
SR.SR3                   |                 TKR.TKR2 |  0.34 | [ 0.26,  0.42] |  7.91 | 477 | < .001***
SR.SR3                   |                 TKR.TKR3 |  0.28 | [ 0.19,  0.36] |  6.34 | 477 | < .001***
SR.SR3                   |                 TKR.TKR4 |  0.37 | [ 0.29,  0.44] |  8.58 | 477 | < .001***
SR.SR3                   |                 WEI.WEI5 |  0.26 | [ 0.18,  0.35] |  6.00 | 477 | < .001***
SR.SR3                   |                 WEI.WEI7 |  0.24 | [ 0.16,  0.32] |  5.45 | 477 | < .001***
SR.SR3                   |                 WEI.WEI8 |  0.21 | [ 0.12,  0.30] |  4.73 | 477 | 0.017*   
SR.SR3                   |       PERCEPTION.PROJPOS | -0.27 | [-0.35, -0.18] | -6.02 | 476 | < .001***
SR.SR3                   |         PERCEPTION.DTPOS | -0.27 | [-0.35, -0.19] | -6.18 | 475 | < .001***
SR.SR3                   |                 MEASURES |  0.26 | [ 0.17,  0.34] |  5.81 | 477 | < .001***
SR.SR4                   |                   LS.LS3 |  0.30 | [ 0.21,  0.38] |  6.81 | 477 | < .001***
SR.SR4                   |                   LS.LS6 |  0.20 | [ 0.12,  0.29] |  4.53 | 477 | 0.043*   
SR.SR4                   |                   LS.LS7 |  0.27 | [ 0.18,  0.35] |  6.01 | 477 | < .001***
SR.SR4                   |                 PPC.PPC5 |  0.25 | [ 0.16,  0.33] |  5.54 | 477 | < .001***
SR.SR4                   |                 PUI.PUI6 |  0.28 | [ 0.20,  0.36] |  6.41 | 477 | < .001***
SR.SR4                   |                 TKR.TKR1 |  0.29 | [ 0.20,  0.37] |  6.54 | 477 | < .001***
SR.SR4                   |                 TKR.TKR2 |  0.31 | [ 0.23,  0.39] |  7.24 | 477 | < .001***
SR.SR4                   |                 TKR.TKR3 |  0.27 | [ 0.19,  0.36] |  6.24 | 477 | < .001***
SR.SR4                   |                 TKR.TKR4 |  0.34 | [ 0.26,  0.41] |  7.83 | 477 | < .001***
SR.SR4                   |                 WEI.WEI5 |  0.26 | [ 0.17,  0.34] |  5.78 | 477 | < .001***
SR.SR4                   |                 WEI.WEI7 |  0.26 | [ 0.17,  0.34] |  5.87 | 477 | < .001***
SR.SR4                   |                 WEI.WEI8 |  0.25 | [ 0.16,  0.33] |  5.65 | 477 | < .001***
SR.SR4                   |       PERCEPTION.PROJPOS | -0.26 | [-0.35, -0.18] | -5.99 | 476 | < .001***
SR.SR4                   |         PERCEPTION.DTPOS | -0.25 | [-0.33, -0.16] | -5.51 | 475 | < .001***
SR.SR4                   |                 MEASURES |  0.23 | [ 0.15,  0.32] |  5.22 | 477 | 0.002**  
LS.LS1                   |                   LS.LS2 |  0.44 | [ 0.37,  0.51] | 10.73 | 477 | < .001***
LS.LS1                   |                   LS.LS3 |  0.45 | [ 0.37,  0.52] | 10.97 | 477 | < .001***
LS.LS1                   |                   LS.LS4 |  0.54 | [ 0.48,  0.60] | 14.18 | 477 | < .001***
LS.LS1                   |                   LS.LS5 |  0.50 | [ 0.43,  0.56] | 12.60 | 477 | < .001***
LS.LS1                   |                   LS.LS6 |  0.54 | [ 0.48,  0.60] | 14.11 | 477 | < .001***
LS.LS1                   |                   LS.LS7 |  0.42 | [ 0.34,  0.49] | 10.13 | 477 | < .001***
LS.LS1                   |                   LS.LS8 |  0.59 | [ 0.53,  0.64] | 15.93 | 477 | < .001***
LS.LS1                   |                 PPC.PPC1 |  0.50 | [ 0.42,  0.56] | 12.45 | 477 | < .001***
LS.LS1                   |                 PPC.PPC2 |  0.37 | [ 0.29,  0.44] |  8.62 | 477 | < .001***
LS.LS1                   |                 PPC.PPC3 |  0.47 | [ 0.39,  0.53] | 11.56 | 477 | < .001***
LS.LS1                   |                 PPC.PPC4 |  0.50 | [ 0.43,  0.56] | 12.56 | 477 | < .001***
LS.LS1                   |                 PPC.PPC5 |  0.41 | [ 0.34,  0.49] |  9.96 | 477 | < .001***
LS.LS1                   |                 PPC.PPC6 |  0.49 | [ 0.41,  0.55] | 12.12 | 477 | < .001***
LS.LS1                   |                   PS.PS1 |  0.55 | [ 0.49,  0.61] | 14.48 | 477 | < .001***
LS.LS1                   |                   PS.PS2 |  0.53 | [ 0.46,  0.59] | 13.68 | 477 | < .001***
LS.LS1                   |                   PS.PS3 |  0.57 | [ 0.50,  0.63] | 15.07 | 477 | < .001***
LS.LS1                   |                   PS.PS4 |  0.50 | [ 0.43,  0.56] | 12.49 | 477 | < .001***
LS.LS1                   |                   PS.PS5 |  0.51 | [ 0.44,  0.58] | 13.06 | 477 | < .001***
LS.LS1                   |                   PS.PS6 |  0.56 | [ 0.50,  0.62] | 14.91 | 477 | < .001***
LS.LS1                   |                   PS.PS7 |  0.52 | [ 0.45,  0.58] | 13.38 | 477 | < .001***
LS.LS1                   |                   PS.PS8 |  0.55 | [ 0.48,  0.61] | 14.37 | 477 | < .001***
LS.LS1                   |                   PS.PS9 |  0.52 | [ 0.45,  0.58] | 13.32 | 477 | < .001***
LS.LS1                   |                  PS.PS10 |  0.52 | [ 0.46,  0.59] | 13.45 | 477 | < .001***
LS.LS1                   |                  PS.PS11 |  0.55 | [ 0.48,  0.61] | 14.31 | 477 | < .001***
LS.LS1                   |                 PUI.PUI1 |  0.58 | [ 0.52,  0.64] | 15.54 | 477 | < .001***
LS.LS1                   |                 PUI.PUI2 |  0.48 | [ 0.40,  0.54] | 11.84 | 477 | < .001***
LS.LS1                   |                 PUI.PUI3 |  0.55 | [ 0.48,  0.61] | 14.33 | 477 | < .001***
LS.LS1                   |                 PUI.PUI4 |  0.56 | [ 0.49,  0.61] | 14.60 | 477 | < .001***
LS.LS1                   |                 PUI.PUI5 |  0.59 | [ 0.53,  0.65] | 15.96 | 477 | < .001***
LS.LS1                   |                 PUI.PUI6 |  0.35 | [ 0.27,  0.43] |  8.16 | 477 | < .001***
LS.LS1                   |                 PUI.PUI7 |  0.56 | [ 0.49,  0.62] | 14.73 | 477 | < .001***
LS.LS1                   |                 PUI.PUI8 |  0.54 | [ 0.48,  0.60] | 14.10 | 477 | < .001***
LS.LS1                   |                 TKR.TKR1 |  0.22 | [ 0.13,  0.30] |  4.85 | 477 | 0.010**  
LS.LS1                   |                 TKR.TKR2 |  0.23 | [ 0.14,  0.31] |  5.14 | 477 | 0.002**  
LS.LS1                   |                 TKR.TKR3 |  0.32 | [ 0.24,  0.40] |  7.50 | 477 | < .001***
LS.LS1                   |                 TKR.TKR4 |  0.24 | [ 0.15,  0.32] |  5.38 | 477 | < .001***
LS.LS1                   |                 WEI.WEI1 |  0.48 | [ 0.41,  0.55] | 11.94 | 477 | < .001***
LS.LS1                   |                 WEI.WEI2 |  0.55 | [ 0.49,  0.61] | 14.44 | 477 | < .001***
LS.LS1                   |                 WEI.WEI3 |  0.50 | [ 0.43,  0.57] | 12.66 | 477 | < .001***
LS.LS1                   |                 WEI.WEI4 |  0.50 | [ 0.43,  0.56] | 12.61 | 477 | < .001***
LS.LS1                   |                 WEI.WEI5 |  0.50 | [ 0.43,  0.57] | 12.75 | 477 | < .001***
LS.LS1                   |                 WEI.WEI6 |  0.39 | [ 0.31,  0.46] |  9.26 | 477 | < .001***
LS.LS1                   |                 WEI.WEI7 |  0.42 | [ 0.35,  0.49] | 10.21 | 477 | < .001***
LS.LS1                   |                 WEI.WEI8 |  0.44 | [ 0.37,  0.51] | 10.74 | 477 | < .001***
LS.LS1                   |       PERCEPTION.PROJPOS |  0.30 | [ 0.21,  0.38] |  6.78 | 476 | < .001***
LS.LS1                   |         PERCEPTION.DTPOS |  0.24 | [ 0.16,  0.33] |  5.45 | 475 | < .001***
LS.LS1                   |            WORKPACE.SQ01 |  0.26 | [ 0.17,  0.34] |  5.79 | 475 | < .001***
LS.LS1                   |                 AUTONOMY |  0.21 | [ 0.13,  0.30] |  4.77 | 475 | 0.014*   
LS.LS2                   |                   LS.LS3 |  0.57 | [ 0.50,  0.62] | 15.04 | 477 | < .001***
LS.LS2                   |                   LS.LS4 |  0.54 | [ 0.47,  0.60] | 13.86 | 477 | < .001***
LS.LS2                   |                   LS.LS5 |  0.51 | [ 0.44,  0.57] | 12.92 | 477 | < .001***
LS.LS2                   |                   LS.LS6 |  0.50 | [ 0.43,  0.56] | 12.48 | 477 | < .001***
LS.LS2                   |                   LS.LS7 |  0.42 | [ 0.34,  0.49] | 10.01 | 477 | < .001***
LS.LS2                   |                   LS.LS8 |  0.45 | [ 0.38,  0.52] | 11.07 | 477 | < .001***
LS.LS2                   |                 PPC.PPC1 |  0.45 | [ 0.38,  0.52] | 11.12 | 477 | < .001***
LS.LS2                   |                 PPC.PPC2 |  0.38 | [ 0.31,  0.46] |  9.11 | 477 | < .001***
LS.LS2                   |                 PPC.PPC3 |  0.45 | [ 0.37,  0.52] | 10.94 | 477 | < .001***
LS.LS2                   |                 PPC.PPC4 |  0.41 | [ 0.34,  0.48] |  9.91 | 477 | < .001***
LS.LS2                   |                 PPC.PPC5 |  0.37 | [ 0.29,  0.45] |  8.83 | 477 | < .001***
LS.LS2                   |                 PPC.PPC6 |  0.43 | [ 0.36,  0.50] | 10.46 | 477 | < .001***
LS.LS2                   |                   PS.PS1 |  0.40 | [ 0.32,  0.48] |  9.61 | 477 | < .001***
LS.LS2                   |                   PS.PS2 |  0.36 | [ 0.28,  0.44] |  8.41 | 477 | < .001***
LS.LS2                   |                   PS.PS3 |  0.38 | [ 0.30,  0.46] |  9.07 | 477 | < .001***
LS.LS2                   |                   PS.PS4 |  0.38 | [ 0.30,  0.46] |  9.03 | 477 | < .001***
LS.LS2                   |                   PS.PS5 |  0.33 | [ 0.25,  0.41] |  7.76 | 477 | < .001***
LS.LS2                   |                   PS.PS6 |  0.43 | [ 0.35,  0.50] | 10.36 | 477 | < .001***
LS.LS2                   |                   PS.PS7 |  0.38 | [ 0.30,  0.46] |  9.06 | 477 | < .001***
LS.LS2                   |                   PS.PS8 |  0.39 | [ 0.31,  0.46] |  9.23 | 477 | < .001***
LS.LS2                   |                   PS.PS9 |  0.45 | [ 0.37,  0.52] | 10.95 | 477 | < .001***
LS.LS2                   |                  PS.PS10 |  0.45 | [ 0.37,  0.52] | 10.89 | 477 | < .001***
LS.LS2                   |                  PS.PS11 |  0.41 | [ 0.33,  0.48] |  9.85 | 477 | < .001***
LS.LS2                   |                 PUI.PUI1 |  0.45 | [ 0.38,  0.52] | 11.04 | 477 | < .001***
LS.LS2                   |                 PUI.PUI2 |  0.44 | [ 0.37,  0.51] | 10.74 | 477 | < .001***
LS.LS2                   |                 PUI.PUI3 |  0.44 | [ 0.36,  0.51] | 10.62 | 477 | < .001***
LS.LS2                   |                 PUI.PUI4 |  0.43 | [ 0.36,  0.50] | 10.50 | 477 | < .001***
LS.LS2                   |                 PUI.PUI5 |  0.45 | [ 0.37,  0.51] | 10.86 | 477 | < .001***
LS.LS2                   |                 PUI.PUI6 |  0.37 | [ 0.28,  0.44] |  8.57 | 477 | < .001***
LS.LS2                   |                 PUI.PUI7 |  0.45 | [ 0.37,  0.52] | 10.91 | 477 | < .001***
LS.LS2                   |                 PUI.PUI8 |  0.40 | [ 0.33,  0.48] |  9.66 | 477 | < .001***
LS.LS2                   |                 TKR.TKR1 |  0.30 | [ 0.21,  0.38] |  6.83 | 477 | < .001***
LS.LS2                   |                 TKR.TKR2 |  0.36 | [ 0.28,  0.43] |  8.38 | 477 | < .001***
LS.LS2                   |                 TKR.TKR3 |  0.30 | [ 0.21,  0.37] |  6.75 | 477 | < .001***
LS.LS2                   |                 TKR.TKR4 |  0.29 | [ 0.21,  0.37] |  6.70 | 477 | < .001***
LS.LS2                   |                 WEI.WEI1 |  0.42 | [ 0.34,  0.49] | 10.04 | 477 | < .001***
LS.LS2                   |                 WEI.WEI2 |  0.41 | [ 0.33,  0.48] |  9.68 | 477 | < .001***
LS.LS2                   |                 WEI.WEI3 |  0.35 | [ 0.27,  0.43] |  8.29 | 477 | < .001***
LS.LS2                   |                 WEI.WEI4 |  0.42 | [ 0.34,  0.49] | 10.13 | 477 | < .001***
LS.LS2                   |                 WEI.WEI5 |  0.48 | [ 0.40,  0.54] | 11.81 | 477 | < .001***
LS.LS2                   |                 WEI.WEI6 |  0.35 | [ 0.27,  0.43] |  8.19 | 477 | < .001***
LS.LS2                   |                 WEI.WEI7 |  0.43 | [ 0.35,  0.50] | 10.39 | 477 | < .001***
LS.LS2                   |                 WEI.WEI8 |  0.43 | [ 0.35,  0.50] | 10.40 | 477 | < .001***
LS.LS2                   |            WORKPACE.SQ01 |  0.27 | [ 0.19,  0.35] |  6.14 | 475 | < .001***
LS.LS2                   |                 AUTONOMY |  0.24 | [ 0.16,  0.33] |  5.48 | 475 | < .001***
LS.LS3                   |                   LS.LS4 |  0.50 | [ 0.43,  0.56] | 12.52 | 477 | < .001***
LS.LS3                   |                   LS.LS5 |  0.49 | [ 0.42,  0.56] | 12.37 | 477 | < .001***
LS.LS3                   |                   LS.LS6 |  0.52 | [ 0.45,  0.58] | 13.33 | 477 | < .001***
LS.LS3                   |                   LS.LS7 |  0.55 | [ 0.49,  0.61] | 14.53 | 477 | < .001***
LS.LS3                   |                   LS.LS8 |  0.53 | [ 0.47,  0.59] | 13.75 | 477 | < .001***
LS.LS3                   |                 PPC.PPC1 |  0.42 | [ 0.34,  0.49] | 10.00 | 477 | < .001***
