outer loadings
                IoIT       EoA       EoI       IMG      PEOU       VIS       VOI       PUA       RES       SQR        LS       PPC        PS       TKR       WEI
IMG        0.3408035 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
PEOU       0.4974644 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
VIS        0.3456810 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
VOI        0.1795354 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
PUA        0.0000000 0.5083036 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
RES        0.0000000 0.4055284 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
SQR        0.0000000 0.3447115 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
LS         0.0000000 0.0000000 0.2480040 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
PPC        0.0000000 0.0000000 0.2425053 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
PS         0.0000000 0.0000000 0.2464443 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
TKR        0.0000000 0.0000000 0.1831622 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
WEI        0.0000000 0.0000000 0.2546447 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
IMG.IMG1   0.0000000 0.0000000 0.0000000 0.3616211 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
IMG.IMG2   0.0000000 0.0000000 0.0000000 0.3711633 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
IMG.IMG3   0.0000000 0.0000000 0.0000000 0.3850263 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
PEOU.PEOU1 0.0000000 0.0000000 0.0000000 0.0000000 0.2291097 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
PEOU.PEOU2 0.0000000 0.0000000 0.0000000 0.0000000 0.2058922 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
PEOU.PEOU3 0.0000000 0.0000000 0.0000000 0.0000000 0.2181859 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
PEOU.PEOU4 0.0000000 0.0000000 0.0000000 0.0000000 0.2077090 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
PEOU.PEOU5 0.0000000 0.0000000 0.0000000 0.0000000 0.1797474 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
PEOU.PEOU6 0.0000000 0.0000000 0.0000000 0.0000000 0.2225163 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
VIS.VIS1   0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.4180297 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
VIS.VIS2   0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.3751710 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
VIS.VIS3   0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.3769879 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
VOI.VOI1   0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.4045616 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
VOI.VOI2   0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.3778056 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
VOI.VOI3   0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.3436407 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
PUA.PUA1   0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.1773334 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
PUA.PUA2   0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.1740014 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
PUA.PUA3   0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.1809649 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
PUA.PUA4   0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.1690202 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
PUA.PUA5   0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.1738596 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
PUA.PUA7   0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.1698522 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
PUA.PUA8   0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.1771195 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
RES.RES1   0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.3836677 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
RES.RES2   0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.4172807 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
RES.RES3   0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.4713301 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
SQR.SQR1   0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.3930886 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
SQR.SQR2   0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.3894378 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
SQR.SQR3   0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.4064972 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
LS.LS1     0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.1685837 0.0000000 0.0000000 0.0000000 0.0000000
LS.LS2     0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.1509344 0.0000000 0.0000000 0.0000000 0.0000000
LS.LS3     0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.1511629 0.0000000 0.0000000 0.0000000 0.0000000
LS.LS4     0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.1634987 0.0000000 0.0000000 0.0000000 0.0000000
LS.LS5     0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.1702320 0.0000000 0.0000000 0.0000000 0.0000000
LS.LS6     0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.1778811 0.0000000 0.0000000 0.0000000 0.0000000
LS.LS7     0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.1588247 0.0000000 0.0000000 0.0000000 0.0000000
LS.LS8     0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.1645304 0.0000000 0.0000000 0.0000000 0.0000000
PPC.PPC1   0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.2283873 0.0000000 0.0000000 0.0000000
PPC.PPC2   0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.1847989 0.0000000 0.0000000 0.0000000
PPC.PPC3   0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.2099789 0.0000000 0.0000000 0.0000000
PPC.PPC4   0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.2237332 0.0000000 0.0000000 0.0000000
PPC.PPC5   0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.2141142 0.0000000 0.0000000 0.0000000
PPC.PPC6   0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.2243172 0.0000000 0.0000000 0.0000000
PS.PS1     0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.1817909 0.0000000 0.0000000
PS.PS2     0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.1791761 0.0000000 0.0000000
PS.PS3     0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.1782727 0.0000000 0.0000000
PS.PS4     0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.1641722 0.0000000 0.0000000
PS.PS5     0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.1660218 0.0000000 0.0000000
PS.PS9     0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.1776139 0.0000000 0.0000000
PS.PS11    0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.1707488 0.0000000 0.0000000
TKR.TKR1   0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.2881470 0.0000000
TKR.TKR2   0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.2936110 0.0000000
TKR.TKR3   0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.3033395 0.0000000
TKR.TKR4   0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.3106318 0.0000000
WEI.WEI1   0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.1542136
